[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	8.505	4.81354
0.5	8.54	4.8268
0.5	8.575	4.84001
0.5	8.61	4.85317
0.5	8.645	4.86628
0.5	8.68	4.87933
0.5	8.715	4.89234
0.5	8.75	4.90529
0.5	8.785	4.91819
0.5	8.82	4.93104
0.5	8.855	4.94384
0.5	8.89	4.95658
0.5	8.925	4.96928
0.5	8.96	4.98192
0.5	8.995	4.99451
0.5	9.03	5.00706
0.5	9.065	5.01955
0.5	9.1	5.03198
0.5	9.135	5.04437
0.5	9.17	5.05671
0.5	9.205	5.06899
0.5	9.24	5.08123
0.5	9.275	5.09341
0.5	9.31	5.10554
0.5	9.345	5.11762
0.5	9.38	5.12965
0.5	9.415	5.14163
0.5	9.45	5.15356
0.5	9.485	5.16543
0.5	9.52	5.17726
0.5	9.555	5.18903
0.5	9.59	5.20075
0.5	9.625	5.21243
0.5	9.66	5.22405
0.5	9.695	5.23562
0.5	9.73	5.24714
0.5	9.765	5.25861
0.5	9.8	5.27003
0.5	9.835	5.2814
0.5	9.87	5.29272
0.5	9.905	5.30398
0.5	9.94	5.3152
0.5	9.975	5.32636
0.5	10.01	5.33748
0.5	10.045	5.34854
0.5	10.08	5.35956
0.5	10.115	5.37052
0.5	10.15	5.38144
0.5	10.185	5.3923
0.5	10.22	5.40311
0.5	10.255	5.41388
0.5	10.29	5.42459
0.5	10.325	5.43525
0.5	10.36	5.44586
0.5	10.395	5.45642
0.5	10.43	5.46694
0.5	10.465	5.4774
0.5	10.5	5.48781
0.5	10.535	5.49817
0.5	10.57	5.50848
0.5	10.605	5.51874
0.5	10.64	5.52896
0.5	10.675	5.53912
0.5	10.71	5.54923
0.5	10.745	5.55929
0.5	10.78	5.56931
0.5	10.815	5.57927
0.5	10.85	5.58919
0.5	10.885	5.59905
0.5	10.92	5.60887
0.5	10.955	5.61863
0.5	10.99	5.62835
0.5	11.025	5.63802
0.5	11.06	5.64763
0.5	11.095	5.6572
0.5	11.13	5.66672
0.5	11.165	5.67619
0.5	11.2	5.68561
0.5	11.235	5.69499
0.5	11.27	5.70431
0.5	11.305	5.71359
0.5	11.34	5.72281
0.5	11.375	5.73199
0.5	11.41	5.74112
0.5	11.445	5.7502
0.5	11.48	5.75923
0.5	11.515	5.76822
0.5	11.55	5.77715
0.5	11.585	5.78604
0.5	11.62	5.79488
0.5	11.655	5.80367
0.5	11.69	5.81242
0.5	11.725	5.82111
0.5	11.76	5.82976
0.5	11.795	5.83836
0.5	11.83	5.84691
0.5	11.865	5.85542
0.5	11.9	5.86388
0.5	11.935	5.87229
0.5	11.97	5.88065
0.5	12.005	5.88896
0.5	12.04	5.89723
0.5	12.075	5.90546
0.5	12.11	5.91363
0.5	12.145	5.92176
0.5	12.18	5.92984
0.5	12.215	5.93788
0.5	12.25	5.94587
0.5	12.285	5.95381
0.5	12.32	5.9617
0.5	12.355	5.96955
0.5	12.39	5.97736
0.5	12.425	5.98512
0.5	12.46	5.99283
0.5	12.495	6.0005
0.5	12.53	6.00812
0.5	12.565	6.0157
0.5	12.6	6.02323
0.5	12.635	6.03071
0.5	12.67	6.03815
0.5	12.705	6.04555
0.5	12.74	6.0529
0.5	12.775	6.06021
0.5	12.81	6.06747
0.5	12.845	6.07469
0.5	12.88	6.08186
0.5	12.915	6.08899
0.5	12.95	6.09608
0.5	12.985	6.10312
0.5	13.02	6.11012
0.5	13.055	6.11708
0.5	13.09	6.12399
0.5	13.125	6.13086
0.5	13.16	6.13769
0.5	13.195	6.14447
0.5	13.23	6.15121
0.5	13.265	6.15791
0.5	13.3	6.16456
0.5	13.335	6.17118
0.5	13.37	6.17775
0.5	13.405	6.18428
0.5	13.44	6.19077
0.5	13.475	6.19721
0.5	13.51	6.20362
0.5	13.545	6.20998
0.5	13.58	6.2163
0.5	13.615	6.22259
0.5	13.65	6.22883
0.5	13.685	6.23503
0.5	13.72	6.24119
0.5	13.755	6.24731
0.5	13.79	6.25339
0.5	13.825	6.25943
0.5	13.86	6.26543
0.5	13.895	6.27139
0.5	13.93	6.27731
0.5	13.965	6.2832
0.5	14	6.28904
0.5	14.035	6.29484
0.5	14.07	6.30061
0.5	14.105	6.30634
0.5	14.14	6.31203
0.5	14.175	6.31768
0.5	14.21	6.3233
0.5	14.245	6.32887
0.5	14.28	6.33441
0.5	14.315	6.33991
0.5	14.35	6.34538
0.5	14.385	6.35081
0.5	14.42	6.3562
0.5	14.455	6.36155
0.5	14.49	6.36687
0.5	14.525	6.37216
0.5	14.56	6.3774
0.5	14.595	6.38261
0.5	14.63	6.38779
0.5	14.665	6.39293
0.5	14.7	6.39804
0.5	14.735	6.40311
0.5	14.77	6.40814
0.5	14.805	6.41314
0.5	14.84	6.41811
0.5	14.875	6.42304
0.5	14.91	6.42794
0.5	14.945	6.43281
0.5	14.98	6.43764
0.5	15.015	6.44244
0.5	15.05	6.4472
0.5	15.085	6.45193
0.5	15.12	6.45663
0.5	15.155	6.4613
0.5	15.19	6.46594
0.5	15.225	6.47054
0.5	15.26	6.47511
0.5	15.295	6.47965
0.5	15.33	6.48416
0.5	15.365	6.48863
0.5	15.4	6.49308
0.5	15.435	6.49749
0.5	15.47	6.50188
0.5	15.505	6.50623
0.5	15.54	6.51055
0.5	15.575	6.51485
0.5	15.61	6.51911
0.5	15.645	6.52334
0.5	15.68	6.52754
0.5	15.715	6.53172
0.5	15.75	6.53586
0.5	15.785	6.53998
0.5	15.82	6.54407
0.5	15.855	6.54813
0.5	15.89	6.55216
0.5	15.925	6.55616
0.5	15.96	6.56013
0.5	15.995	6.56408
0.5	16.03	6.568
0.5	16.065	6.57189
0.5	16.1	6.57575
0.5	16.135	6.57959
0.5	16.17	6.5834
0.5	16.205	6.58719
0.5	16.24	6.59094
0.5	16.275	6.59467
