[GLUe]_0	Values[Vf_GROWTH].InitialValue	(Growth).Flux
12	308	0.0144714
12	312	0.014472
12	316	0.0144724
12	320	0.0144728
12	324	0.014473
12	328	0.0144732
12	332	0.0144733
12	336	0.0144734
12	340	0.0144733
12	344	0.0144732
12	348	0.0144731
12	352	0.0144729
12	356	0.0144726
12	360	0.0144722
12	364	0.0144718
12	368	0.0144714
12	372	0.0144709
12	376	0.0144703
12	380	0.0144697
12	384	0.0144691
12	388	0.0144684
12	392	0.0144677
12	396	0.0144669
12	400	0.0144661

25	0	0
25	4	0.00148566
25	8	0.00485764
25	12	0.00885464
25	16	0.0109439
25	20	0.0121191
25	24	0.0128703
25	28	0.0133922
25	32	0.0137759
25	36	0.0140696
25	40	0.0143013
25	44	0.0144884
25	48	0.0146423
25	52	0.0147707
25	56	0.0148793
25	60	0.014972
25	64	0.0150518
25	68	0.015121
25	72	0.0151814
25	76	0.0152344
25	80	0.0152811
25	84	0.0153224
25	88	0.0153591
25	92	0.0153918
25	96	0.0154209
25	100	0.0154469
25	104	0.0154702
25	108	0.0154911
25	112	0.0155098
25	116	0.0155266
25	120	0.0155417
25	124	0.0155552
25	128	0.0155673
25	132	0.0155781
25	136	0.0155878
25	140	0.0155965
25	144	0.0156041
25	148	0.0156109
25	152	0.015617
25	156	0.0156222
25	160	0.0156268
25	164	0.0156308
25	168	0.0156342
25	172	0.0156371
25	176	0.0156395
25	180	0.0156415
25	184	0.015643
25	188	0.0156442
25	192	0.0156449
25	196	0.0156454
25	200	0.0156455
25	204	0.0156454
25	208	0.015645
25	212	0.0156443
25	216	0.0156434
25	220	0.0156423
25	224	0.0156409
25	228	0.0156394
25	232	0.0156377
25	236	0.0156359
25	240	0.0156339
25	244	0.0156317
25	248	0.0156294
25	252	0.015627
25	256	0.0156244
25	260	0.0156218
25	264	0.015619
25	268	0.0156161
25	272	0.0156132
25	276	0.0156101
25	280	0.015607
25	284	0.0156038
25	288	0.0156005
25	292	0.0155972
25	296	0.0155938
25	300	0.0155903
25	304	0.0155868
25	308	0.0155833
25	312	0.0155797
25	316	0.015576
25	320	0.0155723
25	324	0.0155686
25	328	0.0155648
25	332	0.015561
25	336	0.0155572
25	340	0.0155533
25	344	0.0155494
25	348	0.0155455
25	352	0.0155416
25	356	0.0155376
25	360	0.0155336
25	364	0.0155296
25	368	0.0155256
25	372	0.0155216
25	376	0.0155176
25	380	0.0155135
25	384	0.0155095
25	388	0.0155054
25	392	0.0155013
25	396	0.0154972
25	400	0.0154932

